n_sq_vo,c_coinsee,c_desi,c_liaison,l_voie,l_courtmin,l_longmin,c_voie,b_fantoir,b_off,c_voie_vp,objectid,c_domoff,n_sq_co,length,geometry,sinuosity,azimuth,Route_Name,henge_time
750003643,75056,AV,DU,DOCTEUR GLEY,Av. du Docteur Gley,Avenue du Docteur Gley,750562834,O,O,2854,6591,P,750001537,,"LINESTRING (2.409549440668215 48.87791473313657, 2.4098716385374934 48.87739545752568, 2.4101485121081305 48.877199734081344, 2.4115413013598928 48.87688005115402, 2.4120055008183803 48.87678603190848, 2.412190314904865 48.87675960891247)",1.0544858714233747,303.6259009048449,Avenue du Docteur Gley,"['2025-05-26T20:33:34', '2025-05-27T20:34:40', '2025-07-15T20:43:11']"
750001741,75056,SQ,,CLAUDE DEBUSSY,Sq. Claude Debussy,Square Claude Debussy,750562074,O,O,2083,6598,O,750001537,,"LINESTRING (2.314074331485281 48.88406134806178, 2.3131518158892757 48.88474390468218)",1.0,318.37097516900815,Square Claude Debussy,
750001742,75056,RUE,,CLAUDE GARAMOND,R. Claude Garamond,Rue Claude Garamond,750562075,O,O,2079,6599,P,750001537,,"LINESTRING (2.300238639491699 48.82584521966665, 2.300499217406269 48.825810589028464, 2.3007537835394385 48.82578441282829, 2.3013679359878267 48.825642563399214, 2.301711602852805 48.825571253078856, 2.3023109062517406 48.82544137280346)",1.0009710296087906,286.4887191412248,Rue Claude Garamond,"['2025-04-17T19:40:16', '2025-08-24T19:43:21']"
750003800,75056,RUE,,CHARLES NODIER,R. Charles Nodier,Rue Charles Nodier,750561866,O,O,1869,6715,P,750001537,,"LINESTRING (2.344834045749254 48.884447768607956, 2.3448681899273316 48.88481862289976, 2.3449176174364172 48.88519955221533, 2.34500388545429 48.8857881219526)",1.000246418261933,184.76296406711361,Rue Charles Nodier,
750001798,75056,AV,DES,CHASSEURS,Av. des Chasseurs,Avenue des Chasseurs,750561910,O,O,1905,6730,P,750001537,,"LINESTRING (2.3064336802027796 48.88740561740474, 2.306143210066891 48.88718809515798, 2.305415600906838 48.886694298692774)",1.00022374941517,223.2628454573331,Avenue des Chasseurs,
750003371,75056,PAS,,HEBRARD,Pas. Hébrard,Passage Hébrard,750564514,O,O,4463,6741,P,750001537,,"LINESTRING (2.371325302442233 48.87250100307053, 2.37267965215059 48.87301352648283, 2.373377596337478 48.87328320569192, 2.373701277558428 48.87350277270645, 2.373771584585075 48.87354716301023)",1.0037577760531993,236.9673402275613,Passage Hébrard,"['2025-01-15T17:15:55', '2025-11-25T16:54:07', '2025-11-26T16:53:20']"
750005991,75056,BD,DES,CAPUCINES,Bd. des Capucines,Boulevard des Capucines,750561524,O,O,1516,6799,P,750001537,,"LINESTRING (2.3344143486456725 48.871015179381594, 2.3341504428825144 48.87097007557687, 2.332523786956856 48.87069204066478, 2.3320823489605402 48.87061659661771, 2.3320449677028714 48.87061018256122, 2.329976388179665 48.87025530622495, 2.329840332079101 48.870231962052145, 2.3290434773200666 48.87009523159117, 2.328246373472878 48.86996862098467)",1.0000082898496987,255.5376793645052,Boulevard des Capucines,"['2025-02-23T18:19:23', '2025-10-17T17:51:34']"
750001360,75056,PL,,HUBERT MONMARCHE,Pl. Hubert Monmarché,Place Hubert Monmarché,750564677,O,O,4591,6826,P,750001537,,"LINESTRING (2.299126061370055 48.84156858961061, 2.2992542046206905 48.84147769467246, 2.299558357115057 48.84156447528013)",1.095027825859264,270.8283325161392,Place Hubert Monmarché,"['2025-03-21T19:00:03', '2025-09-21T18:45:19']"
750004506,75056,RUE,,NOTRE-DAME DES CHAMPS,R. Notre-Dame des Champs,Rue Notre-Dame des Champs,750566838,O,O,6779,6873,P,750001537,,"LINESTRING (2.3268555291207673 48.8469502278113, 2.327045012187066 48.8468941393698, 2.327325365194107 48.84644902110156, 2.327714647640674 48.845795547399725, 2.3279820109731584 48.84549881199219, 2.3282895615802155 48.84533057765983, 2.328532260828368 48.845203708977316, 2.3288175828922437 48.84504185988499, 2.3293490072895047 48.84476248520854, 2.3296760280501485 48.84459263861306, 2.3300609598825086 48.84436433305007, 2.330405018770417 48.84415338000882, 2.330606838472715 48.843983351612486, 2.3310164199517196 48.84367580299236, 2.331355452535869 48.84332493197872, 2.3315316285545618 48.84313527837394, 2.331586151504838 48.84300731572499, 2.3317616802275394 48.842703276971115, 2.3321049295104244 48.84204799219185, 2.3322275542323947 48.841873984126714, 2.3325852135758303 48.841630021756025, 2.333057719091064 48.84131780725312, 2.3333779064167923 48.84110432885391, 2.333734732497438 48.84097160981719, 2.3361555898535644 48.840259865220936)",1.0395762750235014,317.5433791173744,Rue Notre-Dame des Champs,
750001872,75056,RUE,,BOURSAULT,R. Boursault,Rue Boursault,750561214,O,O,1221,6875,P,750001537,,"LINESTRING (2.320964352356489 48.88233237351243, 2.320681213378359 48.882949058733566, 2.320417764305149 48.883506795589945, 2.3203732536783335 48.883574820240995, 2.319504626334519 48.8844692093211, 2.3189716652419583 48.885032254152414, 2.3178137173637947 48.88614964582127, 2.317748336283049 48.88620309821346, 2.3169966809589053 48.886649512193216)",1.017590732407594,328.85487198936335,Rue Boursault,
